customer_id,phone,current_plan,monthly_bill,data_usage_gb,call_count,sms_count,complaints,tenure_months,intl_calls
USR-00049,+44 7721 463630,Unlimited,95.16,646.2,6198,136,0,21,0
USR-00050,+44 7237 467904,Standard,38.23,27.5,531,191,3,19,11
USR-00051,+44 7526 630742,Basic,26.31,2.5,22,95,0,2,2
USR-00052,+44 7964 561464,Standard,37.2,7.3,201,118,1,13,3
USR-00053,+44 7819 137498,Premium,64.87,42.6,301,113,0,10,5
USR-00054,+44 7911 113214,Basic,29.84,1.7,36,80,0,7,3
USR-00055,+44 7207 504620,Premium,74.9,26.2,175,128,1,18,10
USR-00056,+44 7519 247376,Standard,40.49,10.8,129,135,1,1,1
USR-00057,+44 7990 395733,Basic,22.84,4.5,53,171,1,6,2
USR-00058,+44 7273 362853,Premium,59.65,29.1,174,52,0,25,0
USR-00059,+44 7858 814997,Standard,43.39,8.9,75,63,2,15,7
USR-00060,+44 7432 554311,Basic,32.03,3.1,40,172,1,24,7
USR-00061,+44 7577 666081,Unlimited,103.34,809.4,4043,109,2,3,4
USR-00062,+44 7609 106583,Basic,26.96,2.1,21,186,1,14,1
USR-00063,+44 7529 356257,Basic,29.4,3.4,78,131,2,13,5
USR-00064,+44 7196 986119,Premium,74.39,18.4,383,99,2,16,9
USR-00065,+44 7136 873844,Basic,34.7,3.7,40,42,0,60,5
USR-00066,+44 7314 133273,Unlimited,101.44,775.4,2508,119,0,22,13
USR-00067,+44 7443 144067,Standard,46.01,26.6,734,313,4,59,2
USR-00068,+44 7708 649550,Basic,32.9,4.1,20,112,0,2,13
USR-00069,+44 7594 897900,Basic,20.49,2.5,71,73,1,18,1
USR-00070,+44 7207 617384,Basic,17.73,11.8,251,342,5,47,4
USR-00071,+44 7546 415781,Unlimited,86.33,656.5,4353,184,0,7,2
USR-00072,+44 7981 356086,Basic,25.81,3.4,40,95,0,28,2
USR-00073,+44 7767 869151,Premium,60.98,24.8,447,115,2,11,5
USR-00074,+44 7874 528631,Standard,38.76,12.4,110,121,0,4,2
USR-00075,+44 7266 387053,Unlimited,98.05,788.0,7414,161,0,12,0
USR-00076,+44 7985 509605,Standard,31.3,4.8,232,38,2,2,7
USR-00077,+44 7154 541460,Standard,36.03,5.0,80,89,1,31,2
USR-00078,+44 7454 596041,Standard,38.62,26.7,830,100,3,13,1
USR-00079,+44 7321 937345,Premium,61.6,24.7,207,106,1,11,3
USR-00080,+44 7224 834901,Basic,18.76,3.6,29,28,0,29,0
USR-00081,+44 7579 657206,Basic,32.06,2.2,54,126,0,60,0
USR-00082,+44 7508 233636,Basic,31.25,4.1,35,185,1,14,2
USR-00083,+44 7444 117130,Premium,61.92,21.5,269,77,0,4,0
USR-00084,+44 7900 703202,Basic,17.86,3.6,64,77,0,21,0
USR-00085,+44 7181 892341,Basic,32.94,4.5,20,22,1,36,1
USR-00086,+44 7364 146720,Standard,30.35,7.0,69,127,0,4,3
USR-00087,+44 7786 610243,Basic,29.51,2.3,56,119,1,24,5
USR-00088,+44 7815 794994,Premium,56.87,27.6,305,22,0,18,10
USR-00089,+44 7319 290932,Standard,48.24,5.8,233,52,2,2,37
USR-00090,+44 7766 499944,Standard,41.39,12.4,128,113,0,13,7
USR-00091,+44 7988 439429,Unlimited,104.57,778.1,2598,56,0,7,0
USR-00092,+44 7622 553851,Premium,73.7,26.8,234,129,1,13,3
USR-00093,+44 7753 319236,Basic,34.09,2.7,27,49,0,3,4
USR-00094,+44 7267 215171,Basic,20.18,4.1,36,56,2,9,8
USR-00095,+44 7371 889038,Standard,45.29,10.4,149,39,0,17,3
USR-00096,+44 7223 834843,Unlimited,86.93,888.5,7717,32,0,12,1
USR-00097,+44 7765 366429,Standard,44.69,6.0,105,48,2,5,1
USR-00098,+44 7946 446407,Standard,32.0,11.3,199,57,1,8,10
USR-00099,+44 7771 405389,Premium,72.48,27.4,281,64,0,15,1
USR-00100,+44 7898 506405,Standard,39.8,6.7,89,189,0,37,3
USR-00101,+44 7434 598974,Standard,33.26,5.7,82,191,1,26,9
USR-00102,+44 7389 575767,Basic,23.0,1.6,27,185,0,11,4
USR-00103,+44 7602 145095,Basic,21.82,4.0,64,104,1,10,4
USR-00104,+44 7290 778561,Standard,42.77,10.1,195,162,1,28,5
USR-00105,+44 7237 929666,Unlimited,92.85,336.9,4749,43,0,4,2
USR-00106,+44 7525 181625,Standard,33.53,8.6,178,127,0,48,4
USR-00107,+44 7709 425066,Premium,61.04,5.0,81,38,3,7,15
USR-00108,+44 7270 682363,Standard,38.38,8.1,161,149,2,29,12
USR-00109,+44 7700 898616,Standard,30.39,8.5,82,36,0,18,11
USR-00110,+44 7352 355168,Basic,17.76,4.1,34,140,0,1,3
USR-00111,+44 7956 157715,Premium,67.5,21.1,315,146,1,18,1
USR-00112,+44 7258 942342,Unlimited,93.87,710.5,2139,92,0,38,8
USR-00113,+44 7400 384439,Premium,73.47,31.3,296,133,1,6,11
USR-00114,+44 7669 360387,Unlimited,97.89,758.0,6574,106,2,14,1
USR-00115,+44 7873 509015,Basic,21.71,2.7,33,166,0,16,0
USR-00116,+44 7816 460973,Premium,63.45,8.0,19,22,3,9,2
USR-00117,+44 7506 200660,Unlimited,98.26,341.4,2827,162,1,14,13
USR-00118,+44 7716 715055,Premium,56.89,27.7,318,110,0,12,9
USR-00119,+44 7712 848907,Unlimited,100.74,576.1,4548,29,1,5,2
USR-00120,+44 7541 924157,Premium,72.57,24.6,389,164,0,39,0
USR-00121,+44 7403 687031,Basic,15.69,1.7,23,20,0,7,8
USR-00122,+44 7584 591036,Premium,62.88,19.4,429,168,1,34,0
USR-00123,+44 7683 776340,Basic,19.16,3.0,65,103,1,41,1
USR-00124,+44 7925 453625,Basic,23.96,9.7,159,346,3,19,2
USR-00125,+44 7689 771323,Premium,66.32,41.2,189,59,0,20,8
USR-00126,+44 7332 782118,Premium,63.36,15.8,137,128,1,8,0
USR-00127,+44 7382 426090,Premium,56.31,26.6,217,113,0,32,17
USR-00128,+44 7526 153537,Basic,33.7,3.4,30,180,0,17,2
USR-00129,+44 7189 170014,Basic,18.51,2.1,60,58,2,4,4
USR-00130,+44 7820 899528,Premium,59.1,25.8,139,84,0,10,3
USR-00131,+44 7722 573453,Unlimited,101.39,22.4,181,32,0,30,5
USR-00132,+44 7393 548775,Unlimited,104.56,80.8,492,47,1,16,3
USR-00133,+44 7215 818672,Standard,32.06,7.9,131,125,0,11,1
USR-00134,+44 7794 396335,Standard,37.82,8.2,137,133,2,12,6
USR-00135,+44 7388 375115,Standard,31.88,8.7,178,119,0,18,7
USR-00136,+44 7263 637654,Premium,73.54,21.4,322,155,0,8,3
USR-00137,+44 7921 606400,Premium,68.6,9.5,41,46,1,1,0
USR-00138,+44 7104 989543,Basic,32.57,4.1,49,103,0,3,1
USR-00139,+44 7811 870077,Standard,49.26,5.9,199,109,0,10,8
USR-00140,+44 7829 756474,Basic,34.63,4.1,42,38,0,25,6
USR-00141,+44 7756 886899,Standard,36.07,8.3,81,163,1,34,1
USR-00142,+44 7700 623089,Basic,15.79,2.9,61,49,1,11,4
USR-00143,+44 7301 828071,Standard,38.09,5.8,93,81,0,3,14
USR-00144,+44 7432 994187,Unlimited,95.68,130.6,1308,33,1,8,0
USR-00145,+44 7354 153841,Unlimited,87.34,141.3,459,45,0,49,20
USR-00146,+44 7457 359903,Premium,74.37,31.0,449,122,1,30,0
USR-00147,+44 7656 857938,Basic,34.51,4.4,25,176,0,5,10
USR-00148,+44 7510 510763,Unlimited,94.65,159.2,822,29,3,21,1
USR-00149,+44 7801 178085,Standard,42.23,8.0,76,33,1,37,20
USR-00150,+44 7606 144205,Basic,19.72,4.4,33,112,0,49,3
USR-00151,+44 7875 656009,Basic,31.0,9.9,226,373,3,16,2
USR-00152,+44 7493 211286,Premium,70.41,25.4,152,60,0,8,1
USR-00153,+44 7742 943001,Basic,18.37,3.5,60,98,1,2,3
USR-00154,+44 7974 160143,Basic,23.43,13.7,218,252,3,48,4
USR-00155,+44 7521 820979,Standard,31.2,10.2,69,196,0,60,8
USR-00156,+44 7799 704668,Standard,43.24,8.4,174,174,1,23,5
USR-00157,+44 7762 414708,Unlimited,99.89,554.5,6872,111,0,43,0
USR-00158,+44 7354 277900,Basic,18.08,3.7,73,69,0,2,7
USR-00159,+44 7257 450171,Basic,17.94,4.1,65,147,2,7,3
USR-00160,+44 7345 285481,Standard,46.29,43.1,749,120,3,15,15
USR-00161,+44 7257 382461,Premium,70.03,25.8,183,104,0,5,3
USR-00162,+44 7664 678697,Basic,24.95,13.0,181,210,2,28,3
USR-00163,+44 7811 622585,Premium,55.31,33.4,440,183,1,10,0
USR-00164,+44 7161 863052,Standard,45.85,9.6,159,170,0,4,4
USR-00165,+44 7341 995098,Unlimited,91.88,833.1,3885,92,1,21,9
USR-00166,+44 7703 272728,Basic,28.62,2.1,23,190,1,6,3
USR-00167,+44 7709 407996,Basic,20.51,2.3,74,45,0,13,2
USR-00168,+44 7856 291767,Basic,31.69,2.8,35,159,2,17,6
USR-00169,+44 7566 404540,Basic,22.89,4.5,22,57,2,4,0
USR-00170,+44 7220 984687,Standard,43.8,6.3,133,106,1,23,4
USR-00171,+44 7778 256378,Standard,34.0,12.8,104,151,0,6,7
USR-00172,+44 7347 221534,Standard,35.08,11.7,223,164,0,17,5
USR-00173,+44 7131 244702,Unlimited,100.65,434.4,7079,91,0,2,5
USR-00174,+44 7583 783969,Unlimited,97.37,808.2,3365,29,0,45,10
USR-00175,+44 7888 245117,Basic,31.4,4.3,63,99,0,7,5
USR-00176,+44 7773 818361,Basic,33.25,10.5,215,251,3,29,23
USR-00177,+44 7452 416845,Premium,74.67,30.7,187,163,0,60,7
USR-00178,+44 7887 649054,Standard,37.65,13.4,76,94,1,9,23
USR-00179,+44 7509 298141,Premium,55.48,38.1,241,129,2,36,5
USR-00180,+44 7877 880565,Premium,73.89,29.9,139,82,1,1,7
USR-00181,+44 7818 321129,Premium,70.58,41.0,388,179,0,10,1
USR-00182,+44 7154 676394,Basic,23.98,19.5,250,290,4,10,2
USR-00183,+44 7226 843410,Basic,33.43,3.9,40,124,0,60,12
USR-00184,+44 7574 844528,Basic,17.64,1.8,27,32,0,36,0
USR-00185,+44 7569 251071,Standard,36.91,10.2,218,134,0,60,8
USR-00186,+44 7680 870767,Basic,28.71,2.3,29,64,0,15,1
USR-00187,+44 7917 405290,Basic,20.79,2.4,32,144,1,27,6
USR-00188,+44 7775 502154,Standard,31.47,10.1,84,144,1,60,14
USR-00189,+44 7963 525299,Standard,45.2,30.8,614,322,2,55,11
USR-00190,+44 7641 701760,Standard,40.3,12.9,148,115,1,6,0
USR-00191,+44 7627 100511,Unlimited,86.89,580.4,7772,101,0,4,3
USR-00192,+44 7238 275704,Standard,42.52,11.1,65,122,2,24,1
USR-00193,+44 7423 998944,Standard,46.98,11.3,101,183,0,12,3
USR-00194,+44 7993 749562,Basic,27.77,2.3,35,124,1,32,8
USR-00195,+44 7926 915495,Unlimited,104.69,616.5,6996,74,2,4,15
USR-00196,+44 7554 826965,Premium,69.97,24.6,317,120,0,15,1
USR-00197,+44 7399 978481,Standard,30.41,29.6,823,233,2,60,4
USR-00198,+44 7192 239857,Basic,31.97,2.3,23,29,0,24,0
USR-00199,+44 7902 403423,Standard,48.07,8.5,72,164,1,1,1
USR-00200,+44 7927 529509,Basic,21.0,3.5,63,127,1,26,6
USR-00201,+44 7116 668428,Standard,42.2,4.9,123,148,0,5,3
USR-00202,+44 7617 509404,Premium,59.46,18.1,291,128,1,26,0
USR-00203,+44 7935 558343,Standard,49.03,11.9,226,56,1,1,8
USR-00204,+44 7943 653262,Premium,67.27,42.2,469,119,0,3,3
USR-00205,+44 7756 590269,Standard,40.19,5.9,193,33,1,40,2
USR-00206,+44 7188 293719,Unlimited,99.67,520.9,3048,59,0,11,7
USR-00207,+44 7933 588082,Premium,74.74,40.6,207,131,0,2,5
USR-00208,+44 7122 861128,Basic,21.69,2.5,24,105,0,27,0
USR-00209,+44 7204 343688,Standard,32.82,8.5,231,137,0,32,1
USR-00210,+44 7237 716854,Premium,55.63,3.6,21,24,1,7,1
USR-00211,+44 7105 440053,Standard,46.2,5.5,62,64,1,23,0
USR-00212,+44 7478 392159,Standard,48.84,4.7,152,82,2,2,1
USR-00213,+44 7962 592288,Standard,38.89,7.1,201,133,0,12,2
USR-00214,+44 7857 361979,Basic,34.55,4.5,20,101,0,6,5
USR-00215,+44 7526 988293,Basic,25.04,19.3,175,251,2,24,8
USR-00216,+44 7919 978873,Basic,25.6,4.1,46,70,2,26,2
USR-00217,+44 7711 555854,Basic,20.26,1.6,43,56,1,12,20
USR-00218,+44 7485 408384,Standard,47.99,8.7,125,173,0,30,1
USR-00219,+44 7217 235932,Basic,27.12,1.9,34,154,0,16,3
USR-00220,+44 7412 112712,Premium,67.25,25.2,178,113,1,14,3
USR-00221,+44 7346 921201,Unlimited,88.85,323.4,2649,63,0,1,3
USR-00222,+44 7415 935672,Standard,49.81,7.5,76,24,0,9,7
USR-00223,+44 7859 742844,Standard,45.33,7.3,199,157,1,45,6
USR-00224,+44 7701 793167,Standard,30.67,5.3,238,158,1,3,3
USR-00225,+44 7472 974073,Premium,60.29,40.7,155,69,2,1,0
USR-00226,+44 7520 331634,Standard,38.34,6.9,220,96,0,17,1
USR-00227,+44 7840 547138,Standard,45.68,7.7,161,94,0,3,2
USR-00228,+44 7969 417925,Premium,57.29,5.7,23,41,1,7,2
USR-00229,+44 7606 459854,Premium,57.36,6.4,75,8,1,11,6
USR-00230,+44 7748 999787,Premium,57.07,24.7,331,149,2,35,1
USR-00231,+44 7202 393593,Standard,36.28,8.8,226,35,2,22,3
USR-00232,+44 7204 688356,Standard,30.77,6.2,221,65,0,22,0
USR-00233,+44 7887 882454,Standard,37.36,5.3,230,154,0,2,2
USR-00234,+44 7582 320030,Basic,22.75,12.1,173,215,2,8,3
USR-00235,+44 7416 152846,Standard,45.86,7.9,165,193,0,44,20
USR-00236,+44 7605 172876,Standard,40.14,13.4,142,36,0,3,0
USR-00237,+44 7737 294642,Premium,66.11,33.4,391,171,1,60,0
USR-00238,+44 7732 740195,Premium,72.75,27.6,187,81,1,3,0
USR-00239,+44 7165 755632,Basic,15.78,4.4,62,129,1,19,1
USR-00240,+44 7807 569542,Basic,21.48,16.6,291,326,3,9,2
USR-00241,+44 7445 347232,Standard,35.74,12.6,239,34,0,12,1
USR-00242,+44 7457 987425,Premium,60.24,42.6,131,32,0,26,0
USR-00243,+44 7438 186276,Basic,23.56,3.2,49,124,0,18,0
USR-00244,+44 7107 751370,Premium,60.75,32.0,144,50,1,1,6
USR-00245,+44 7150 791129,Basic,25.96,4.0,25,24,2,35,1
USR-00246,+44 7188 897700,Premium,64.54,30.0,476,47,0,28,0
USR-00247,+44 7568 789202,Premium,61.1,22.9,270,85,0,8,1
USR-00248,+44 7325 613618,Standard,33.0,55.2,697,140,4,60,5
USR-00249,+44 7859 423283,Basic,30.11,4.5,22,154,0,4,9
USR-00250,+44 7211 722573,Basic,30.84,4.5,35,54,1,20,5
USR-00251,+44 7916 977130,Premium,68.63,22.4,320,73,1,12,9
USR-00252,+44 7574 188456,Standard,32.47,8.9,79,62,2,1,5
USR-00253,+44 7277 902693,Premium,71.55,9.1,68,8,2,20,5
USR-00254,+44 7441 997899,Standard,45.11,10.8,232,125,1,7,7
USR-00255,+44 7144 410750,Basic,26.69,3.1,48,122,0,5,6
USR-00256,+44 7858 574659,Premium,60.45,38.7,344,116,1,43,2
USR-00257,+44 7759 366298,Premium,66.82,17.7,333,59,0,29,5
USR-00258,+44 7244 436044,Standard,33.85,11.0,153,86,0,3,1
USR-00259,+44 7833 616133,Unlimited,101.04,440.5,2634,80,0,8,5
USR-00260,+44 7677 290566,Standard,41.04,8.1,69,186,0,45,9
USR-00261,+44 7845 693066,Premium,73.8,16.0,365,191,0,9,0
USR-00262,+44 7423 231248,Standard,46.72,8.7,135,41,2,11,0
USR-00263,+44 7430 966428,Basic,18.01,2.1,29,121,1,14,20
USR-00264,+44 7917 627042,Unlimited,104.15,678.1,5720,135,2,38,0
USR-00265,+44 7492 898548,Premium,65.54,15.4,303,111,0,20,1
USR-00266,+44 7392 356698,Unlimited,103.99,491.3,3763,117,0,12,4
USR-00267,+44 7708 643549,Premium,65.32,3.4,47,6,2,41,4
USR-00268,+44 7432 590683,Standard,46.53,26.2,724,398,2,15,11
USR-00269,+44 7123 417521,Standard,33.88,12.2,82,186,0,14,0
USR-00270,+44 7875 211969,Standard,43.04,6.0,141,92,0,27,12
USR-00271,+44 7954 735044,Basic,24.12,1.8,44,189,1,3,4
USR-00272,+44 7777 380337,Basic,24.85,15.2,169,299,3,37,15
USR-00273,+44 7415 305502,Basic,34.18,2.1,71,168,1,7,2
USR-00274,+44 7359 849972,Unlimited,94.92,552.9,5361,81,0,3,0
USR-00275,+44 7842 783985,Standard,44.32,8.4,143,57,2,19,1
USR-00276,+44 7818 259595,Standard,49.85,7.1,218,151,2,6,16
USR-00277,+44 7383 856625,Premium,59.51,28.6,453,90,0,17,0
USR-00278,+44 7904 371611,Standard,39.34,6.7,148,165,0,2,2
USR-00279,+44 7159 407240,Standard,44.9,8.7,164,110,1,25,5
USR-00280,+44 7764 537369,Premium,60.09,19.6,329,71,1,14,2
USR-00281,+44 7948 453971,Unlimited,85.63,824.6,7920,177,1,11,4
USR-00282,+44 7737 417140,Premium,59.59,31.0,259,166,1,17,9
USR-00283,+44 7572 991784,Standard,40.05,6.7,104,45,0,6,0
USR-00284,+44 7468 377049,Basic,30.68,3.0,68,83,1,5,5
USR-00285,+44 7818 263370,Standard,39.19,4.5,113,119,0,4,8
USR-00286,+44 7257 259234,Standard,45.65,9.7,76,171,1,34,5
USR-00287,+44 7464 817764,Basic,32.63,1.6,33,150,0,38,0
USR-00288,+44 7926 632171,Premium,56.44,35.2,309,137,1,4,8
USR-00289,+44 7297 778680,Standard,30.97,12.1,238,49,2,9,9
USR-00290,+44 7205 382833,Standard,37.02,9.1,106,44,0,8,3
USR-00291,+44 7301 989601,Premium,69.79,31.2,456,89,0,9,2
USR-00292,+44 7792 349757,Premium,57.37,33.8,247,142,1,3,5
USR-00293,+44 7568 354280,Standard,41.16,6.2,89,28,0,1,0
USR-00294,+44 7148 151189,Standard,44.77,12.8,111,142,1,39,7
USR-00295,+44 7417 678850,Basic,28.67,3.7,33,101,0,9,1
USR-00296,+44 7489 433535,Standard,34.18,7.8,68,161,0,41,0
USR-00297,+44 7628 346298,Basic,30.15,17.1,193,214,3,32,3
USR-00298,+44 7472 473366,Premium,57.08,37.4,284,94,2,22,0
USR-00299,+44 7658 929961,Basic,19.98,3.2,75,26,1,58,0
USR-00300,+44 7377 396167,Basic,25.98,2.7,51,20,0,15,0
USR-00301,+44 7214 680911,Standard,42.34,4.7,229,39,1,10,5
USR-00302,+44 7648 484774,Unlimited,87.97,194.7,313,33,1,6,8
USR-00303,+44 7564 580048,Standard,32.97,13.2,70,186,2,8,16
USR-00304,+44 7130 208716,Premium,58.21,19.6,207,173,2,29,9
USR-00305,+44 7920 606821,Basic,19.14,3.6,55,85,1,20,4
USR-00306,+44 7319 217761,Premium,59.44,29.2,235,35,2,1,4
USR-00307,+44 7184 799019,Basic,18.06,2.8,39,163,1,55,16
USR-00308,+44 7110 690329,Basic,30.94,3.1,40,48,1,10,3
USR-00309,+44 7329 522219,Basic,18.66,2.3,52,77,2,28,2
USR-00310,+44 7256 652244,Premium,72.49,9.4,50,41,2,28,7
USR-00311,+44 7643 811777,Basic,27.2,15.1,141,172,2,16,0
USR-00312,+44 7688 657275,Premium,56.95,31.5,322,105,1,6,5
USR-00313,+44 7781 775751,Standard,31.58,11.2,75,159,1,42,1
USR-00314,+44 7737 492199,Basic,21.51,3.8,61,70,2,57,0
USR-00315,+44 7104 642174,Standard,47.18,8.8,162,76,0,5,3
USR-00316,+44 7985 371465,Standard,30.09,5.1,105,61,0,29,3
USR-00317,+44 7382 678272,Standard,39.21,12.8,197,100,0,60,11
USR-00318,+44 7803 278004,Unlimited,97.34,831.1,2585,136,0,17,1
USR-00319,+44 7921 468730,Basic,23.91,3.3,46,64,0,60,6
USR-00320,+44 7833 692025,Basic,33.13,2.8,20,193,0,8,19
USR-00321,+44 7585 384647,Standard,45.21,6.9,99,40,0,28,3
USR-00322,+44 7923 911691,Basic,24.3,3.1,75,177,0,41,22
USR-00323,+44 7361 676850,Basic,30.21,2.3,30,191,0,6,6
USR-00324,+44 7371 104203,Premium,68.12,34.4,187,188,0,28,5
USR-00325,+44 7810 508760,Standard,36.62,10.6,108,69,0,2,0
USR-00326,+44 7948 722932,Basic,16.96,3.1,27,144,1,18,3
USR-00327,+44 7163 157297,Premium,74.91,40.3,140,159,0,12,0
USR-00328,+44 7265 826505,Premium,62.07,37.1,376,174,0,1,16
USR-00329,+44 7948 228314,Basic,34.28,1.7,23,184,0,3,7
USR-00330,+44 7168 256551,Premium,68.43,35.7,154,53,1,8,9
USR-00331,+44 7782 331597,Unlimited,103.73,323.8,7201,85,1,1,2
USR-00332,+44 7876 646911,Standard,33.89,5.0,74,150,0,2,4
USR-00333,+44 7582 785356,Standard,48.63,10.3,129,119,0,5,0
USR-00334,+44 7103 664201,Unlimited,86.9,688.9,7568,95,0,3,1
USR-00335,+44 7167 397540,Premium,60.6,32.7,172,154,0,5,0
USR-00336,+44 7826 411492,Basic,27.95,3.8,61,45,1,32,0
USR-00337,+44 7534 745593,Standard,37.09,41.9,440,149,2,30,4
USR-00338,+44 7650 891480,Premium,71.03,42.6,227,40,0,13,4
USR-00339,+44 7133 346490,Standard,36.16,9.5,108,108,1,38,0
USR-00340,+44 7608 410120,Basic,30.26,16.2,142,243,3,4,1
USR-00341,+44 7474 580022,Basic,24.66,3.3,58,147,2,17,2
USR-00342,+44 7222 478949,Standard,42.56,47.4,407,182,2,5,8
USR-00343,+44 7541 961032,Basic,30.12,2.6,63,124,1,10,2
USR-00344,+44 7546 285311,Standard,31.23,57.8,552,176,5,60,0
USR-00345,+44 7122 881247,Standard,44.74,57.5,867,263,4,11,1
USR-00346,+44 7937 465851,Basic,31.93,1.5,46,147,0,60,7
USR-00347,+44 7123 400520,Premium,62.02,21.7,459,69,1,6,3
USR-00348,+44 7505 704698,Premium,65.05,30.6,242,167,1,9,3
USR-00349,+44 7204 369611,Premium,64.9,38.2,261,25,1,1,5
USR-00350,+44 7212 383229,Standard,41.92,10.6,180,77,0,5,3
USR-00351,+44 7902 753186,Standard,40.13,10.3,84,99,0,2,0
USR-00352,+44 7565 282409,Basic,26.13,2.9,77,71,0,56,8
USR-00353,+44 7224 322454,Premium,55.56,43.3,278,68,2,6,13
USR-00354,+44 7765 144904,Unlimited,103.13,22.9,1040,34,0,5,0
USR-00355,+44 7584 148943,Premium,65.21,22.6,302,38,2,52,1
USR-00356,+44 7864 198754,Basic,28.17,3.4,67,30,0,44,4
USR-00357,+44 7910 986145,Basic,26.14,1.8,72,186,0,45,12
USR-00358,+44 7142 136388,Basic,18.75,14.5,185,196,2,29,1
USR-00359,+44 7394 675915,Standard,41.17,7.5,182,156,0,60,9
USR-00360,+44 7523 810601,Basic,24.01,3.8,76,182,0,1,6
USR-00361,+44 7370 552956,Basic,23.77,3.8,67,131,0,15,12
USR-00362,+44 7354 497933,Standard,41.28,9.5,137,168,0,41,4
USR-00363,+44 7708 364635,Premium,64.96,31.9,371,154,0,26,1
USR-00364,+44 7474 868781,Basic,22.83,3.3,27,166,1,10,10
USR-00365,+44 7609 517693,Standard,43.62,4.5,176,149,0,12,11
USR-00366,+44 7163 589015,Unlimited,88.43,891.9,7826,185,0,28,2
USR-00367,+44 7554 440534,Premium,58.06,41.0,159,88,1,11,1
USR-00368,+44 7853 830900,Standard,41.83,23.1,631,149,4,7,2
USR-00369,+44 7976 997882,Standard,39.59,9.4,219,60,0,6,3
USR-00370,+44 7566 582428,Basic,24.96,4.1,53,81,0,4,11
USR-00371,+44 7806 874659,Standard,46.23,10.9,150,182,2,4,5
USR-00372,+44 7376 226368,Standard,37.73,7.3,197,45,0,13,5
