client_id,contact_number,current_product,monthly_fee,avg_balance,monthly_transactions,digital_logins,support_tickets,account_age_months,international_transfers
CLT-00075,+33 669 912297,Savings Plus,8.7,49761.58,52,48,1,16,0
CLT-00076,+33 626 944220,Premium Account,16.25,71273.21,53,10,3,3,3
CLT-00077,+33 685 200440,Checking,0.0,7983.27,22,26,2,41,0
CLT-00078,+33 615 473300,Checking,0.0,6540.84,10,5,3,12,1
CLT-00079,+33 630 390241,Checking,0.0,11818.43,43,18,3,14,1
CLT-00080,+33 652 272221,Checking,2.98,1204.25,28,7,0,17,3
CLT-00081,+33 652 317474,Checking,2.34,953.61,14,36,0,120,0
CLT-00082,+33 662 362019,Premium Account,21.99,36274.35,75,55,0,50,1
CLT-00083,+33 620 640659,Private Banking,48.59,425263.74,39,16,1,9,0
CLT-00084,+33 646 860713,Checking,3.08,776.0,16,45,1,10,5
CLT-00085,+33 680 556562,Savings Plus,4.21,11467.34,53,59,0,1,3
CLT-00086,+33 610 264117,Checking,2.35,13265.51,31,7,0,35,0
CLT-00087,+33 685 886498,Premium Account,17.62,21816.05,63,18,1,87,2
CLT-00088,+33 664 234805,Premium Account,22.88,76693.78,74,33,0,1,2
CLT-00089,+33 624 714322,Savings Plus,5.77,9233.24,63,13,0,18,0
CLT-00090,+33 695 679990,Premium Account,21.13,41214.74,55,25,3,27,4
CLT-00091,+33 672 879014,Premium Account,22.33,76993.38,31,48,1,17,0
CLT-00092,+33 618 665866,Checking,4.21,5968.6,38,22,0,53,0
CLT-00093,+33 640 439485,Savings Plus,4.38,47092.16,40,26,2,12,0
CLT-00094,+33 621 625788,Checking,3.27,4032.15,13,20,3,2,0
CLT-00095,+33 617 963398,Savings Plus,6.37,16674.79,17,40,1,16,1
CLT-00096,+33 654 652565,Checking,4.89,13212.31,46,57,3,3,0
CLT-00097,+33 645 588127,Checking,2.32,1906.18,43,14,0,6,0
CLT-00098,+33 632 199894,Savings Plus,5.83,18321.48,35,47,2,11,2
CLT-00099,+33 664 261542,Checking,3.93,1955.74,20,27,0,8,1
CLT-00100,+33 650 399779,Premium Account,17.74,53932.21,59,13,0,34,5
CLT-00101,+33 683 491106,Premium Account,19.76,69060.79,59,12,0,48,0
CLT-00102,+33 621 241365,Savings Plus,3.83,16393.31,16,22,3,15,1
CLT-00103,+33 682 767452,Savings Plus,8.73,13425.75,69,30,2,24,1
CLT-00104,+33 623 673585,Checking,3.26,12019.63,34,16,2,38,2
CLT-00105,+33 645 512435,Savings Plus,3.43,49701.58,30,12,1,13,0
CLT-00106,+33 623 692408,Private Banking,47.62,390472.05,47,31,1,63,1
CLT-00107,+33 635 903238,Checking,1.15,12767.11,11,46,0,9,6
CLT-00108,+33 698 904863,Checking,0.82,5811.86,39,44,1,39,4
CLT-00109,+33 633 213226,Savings Plus,6.08,20406.31,37,10,0,24,4
CLT-00110,+33 669 776120,Checking,4.02,3368.24,41,41,0,2,1
CLT-00111,+33 695 587870,Checking,0.0,10283.68,46,43,2,24,0
CLT-00112,+33 694 590026,Savings Plus,7.8,48925.78,36,27,0,51,3
CLT-00113,+33 672 540841,Savings Plus,6.81,43429.3,32,39,2,8,4
CLT-00114,+33 639 309856,Private Banking,48.35,491281.77,64,31,2,18,0
CLT-00115,+33 635 296970,Savings Plus,5.87,16601.38,47,49,0,21,0
CLT-00116,+33 686 644420,Checking,3.42,12668.02,15,26,0,11,0
CLT-00117,+33 662 811663,Savings Plus,3.97,49136.95,18,19,1,12,0
CLT-00118,+33 688 365570,Premium Account,19.51,62349.54,60,40,1,46,0
CLT-00119,+33 628 146277,Premium Account,18.97,51832.64,54,41,2,11,2
CLT-00120,+33 641 250651,Premium Account,21.61,52154.57,73,54,1,1,6
CLT-00121,+33 630 100466,Checking,0.0,8240.68,12,28,2,4,1
CLT-00122,+33 678 597842,Premium Account,21.76,34686.37,80,50,1,3,3
CLT-00123,+33 673 518211,Premium Account,21.25,95232.89,57,25,0,7,2
CLT-00124,+33 629 155015,Checking,3.76,42340.4,75,59,0,2,1
CLT-00125,+33 650 273070,Savings Plus,9.11,44378.79,68,17,1,26,3
CLT-00126,+33 668 577464,Savings Plus,3.19,42284.61,54,38,0,11,0
CLT-00127,+33 677 343626,Savings Plus,5.7,42197.52,45,33,0,43,6
CLT-00128,+33 638 800346,Checking,2.52,44859.4,140,53,0,23,1
CLT-00129,+33 636 711573,Private Banking,44.37,2936.6,10,16,3,5,1
CLT-00130,+33 618 319870,Checking,0.53,12974.09,22,24,0,14,1
CLT-00131,+33 614 203793,Checking,0.0,13980.17,13,39,0,39,2
CLT-00132,+33 620 156094,Premium Account,18.81,119667.72,27,57,0,25,1
CLT-00133,+33 695 442658,Checking,4.8,7730.27,29,26,2,4,1
CLT-00134,+33 662 700042,Checking,0.51,90630.12,113,28,0,44,1
CLT-00135,+33 644 515635,Private Banking,46.98,231704.98,47,41,0,31,1
CLT-00136,+33 659 876931,Savings Plus,5.72,12472.82,54,35,0,41,0
CLT-00137,+33 668 950966,Premium Account,16.37,79739.45,68,26,0,19,0
CLT-00138,+33 692 235928,Checking,3.2,8658.69,11,32,2,33,0
CLT-00139,+33 615 343307,Premium Account,19.96,107876.36,49,13,1,20,1
CLT-00140,+33 678 965940,Private Banking,47.16,442256.85,31,25,3,19,1
CLT-00141,+33 693 432985,Savings Plus,5.97,49196.49,48,27,0,24,3
CLT-00142,+33 620 555826,Checking,1.64,13177.85,10,42,1,7,1
CLT-00143,+33 692 292893,Savings Plus,6.66,6804.28,40,12,1,14,0
CLT-00144,+33 626 624267,Private Banking,43.57,423587.84,78,52,1,41,1
CLT-00145,+33 668 136359,Savings Plus,9.71,29057.03,69,43,1,80,0
CLT-00146,+33 636 943251,Private Banking,48.84,147001.75,23,34,0,33,4
CLT-00147,+33 680 270426,Savings Plus,5.17,7840.27,68,20,0,5,5
CLT-00148,+33 695 663725,Premium Account,22.6,117589.75,79,48,0,40,1
CLT-00149,+33 686 447706,Premium Account,19.19,90483.83,56,24,0,7,0
CLT-00150,+33 644 383697,Premium Account,16.25,113068.45,64,16,0,81,0
CLT-00151,+33 641 238241,Savings Plus,3.34,48973.67,27,8,0,15,1
CLT-00152,+33 627 686701,Savings Plus,7.32,14084.03,59,57,3,17,0
CLT-00153,+33 621 586428,Checking,3.4,14212.56,25,15,1,44,7
CLT-00154,+33 638 786716,Savings Plus,9.56,37485.81,24,10,0,56,1
CLT-00155,+33 692 479589,Savings Plus,6.35,49766.67,41,8,2,7,5
CLT-00156,+33 662 745472,Checking,1.33,7300.57,45,50,0,10,7
CLT-00157,+33 648 696275,Savings Plus,5.43,43530.31,49,41,3,12,1
CLT-00158,+33 695 638170,Premium Account,17.51,93657.31,54,12,2,6,1
CLT-00159,+33 681 238980,Premium Account,22.69,47258.65,32,15,0,16,0
CLT-00160,+33 635 821987,Premium Account,19.35,37518.06,48,20,0,11,0
CLT-00161,+33 661 773190,Savings Plus,8.48,8146.92,41,49,0,77,1
CLT-00162,+33 649 918902,Savings Plus,4.69,26036.8,36,22,2,1,0
CLT-00163,+33 615 937002,Savings Plus,8.34,21617.28,27,32,1,33,4
CLT-00164,+33 667 622585,Private Banking,43.11,284372.56,24,32,1,12,1
CLT-00165,+33 616 863052,Savings Plus,8.55,9889.57,27,59,1,35,1
CLT-00166,+33 687 995098,Savings Plus,5.41,32283.47,66,21,1,12,0
CLT-00167,+33 669 272728,Checking,2.77,6341.75,43,14,0,9,1
CLT-00168,+33 682 407996,Checking,0.0,12309.87,19,19,3,12,6
CLT-00169,+33 684 291767,Checking,3.85,11691.82,25,5,1,22,0
CLT-00170,+33 660 240611,Savings Plus,8.23,9006.89,36,15,0,23,1
CLT-00171,+33 624 470658,Savings Plus,9.88,33901.36,52,27,0,19,2
CLT-00172,+33 692 463175,Premium Account,17.3,66823.14,38,20,1,52,3
CLT-00173,+33 612 949417,Premium Account,16.95,47413.44,41,27,3,120,0
CLT-00174,+33 629 453455,Checking,0.0,9769.13,41,51,3,20,0
CLT-00175,+33 663 215463,Checking,3.32,4934.1,34,47,0,45,1
CLT-00176,+33 693 658859,Premium Account,21.25,94477.09,78,11,0,9,1
CLT-00177,+33 681 322052,Savings Plus,9.39,22779.58,58,45,0,10,0
CLT-00178,+33 670 453049,Premium Account,22.89,92183.63,84,40,0,23,5
CLT-00179,+33 663 444504,Checking,3.51,13195.32,21,58,1,21,6
CLT-00180,+33 688 509909,Checking,0.0,10047.97,43,44,0,10,1
CLT-00181,+33 647 950632,Checking,0.78,13043.95,11,7,0,6,1
CLT-00182,+33 676 819142,Premium Account,21.45,41592.48,59,17,0,1,8
CLT-00183,+33 620 504578,Premium Account,19.33,94399.47,59,40,0,17,6
CLT-00184,+33 627 710211,Checking,4.32,2544.9,48,23,3,8,1
CLT-00185,+33 612 219287,Checking,0.0,1533.92,49,50,2,32,3
CLT-00186,+33 661 734113,Premium Account,19.13,72212.51,71,30,0,6,2
CLT-00187,+33 694 717444,Checking,0.31,4072.11,43,52,3,11,2
CLT-00188,+33 616 323836,Checking,1.98,13692.05,21,35,0,18,1
CLT-00189,+33 664 166663,Savings Plus,7.78,36209.32,52,29,0,10,0
CLT-00190,+33 646 133425,Savings Plus,6.82,15667.79,60,30,2,24,3
CLT-00191,+33 620 164665,Private Banking,48.16,311463.02,56,33,1,144,1
CLT-00192,+33 652 229645,Savings Plus,4.52,25275.94,24,5,0,18,7
CLT-00193,+33 696 250628,Premium Account,22.59,76998.29,35,39,0,25,1
CLT-00194,+33 639 542881,Premium Account,21.29,110579.19,57,59,2,15,1
CLT-00195,+33 619 574095,Checking,4.93,8945.45,49,40,2,26,1
CLT-00196,+33 686 504073,Savings Plus,9.9,18644.09,39,54,3,63,0
CLT-00197,+33 646 467490,Checking,2.46,8631.27,30,46,2,11,0
CLT-00198,+33 639 986204,Checking,3.32,6971.09,19,6,1,14,0
CLT-00199,+33 681 119551,Premium Account,20.07,26494.68,28,51,0,35,2
CLT-00200,+33 623 593342,Savings Plus,3.08,41123.85,64,54,0,51,0
CLT-00201,+33 687 544656,Checking,4.67,11009.84,33,21,3,10,2
CLT-00202,+33 652 589347,Checking,1.07,10815.44,10,38,1,4,12
CLT-00203,+33 625 138296,Premium Account,17.72,67502.24,64,17,1,19,0
CLT-00204,+33 650 373260,Premium Account,16.13,40134.83,85,57,3,1,4
CLT-00205,+33 615 864809,Private Banking,43.55,488284.06,53,38,3,16,0
CLT-00206,+33 664 571460,Checking,3.94,1587.75,39,33,1,20,1
CLT-00207,+33 662 948310,Premium Account,19.25,37480.74,39,45,0,10,3
CLT-00208,+33 629 185525,Premium Account,17.81,81866.06,85,59,1,18,0
CLT-00209,+33 622 356609,Premium Account,21.28,27124.45,55,23,0,14,3
CLT-00210,+33 685 720527,Savings Plus,9.2,34285.76,21,12,1,3,1
CLT-00211,+33 658 569688,Checking,0.9,2526.92,27,20,0,29,1
CLT-00212,+33 612 391351,Premium Account,19.2,21377.74,41,49,0,3,0
CLT-00213,+33 675 190258,Savings Plus,5.95,28181.0,33,48,2,1,3
CLT-00214,+33 693 984792,Premium Account,22.5,98755.56,66,7,3,8,1
CLT-00215,+33 619 858388,Checking,1.17,14820.89,10,22,0,48,1
CLT-00216,+33 652 141271,Checking,1.53,96179.16,83,28,0,40,1
CLT-00217,+33 621 351538,Private Banking,46.14,301818.1,71,52,3,65,3
CLT-00218,+33 644 742928,Checking,0.0,950.51,25,14,1,100,0
CLT-00219,+33 618 867359,Savings Plus,5.53,37253.83,40,36,0,4,2
CLT-00220,+33 629 915844,Checking,3.65,11333.11,15,38,3,11,3
CLT-00221,+33 679 260121,Private Banking,46.73,165142.62,51,38,0,7,0
CLT-00222,+33 611 417059,Checking,0.0,46817.43,84,15,0,13,1
CLT-00223,+33 635 780983,Checking,0.0,1801.1,11,59,0,84,2
CLT-00224,+33 692 252848,Checking,4.27,11588.97,43,47,1,38,1
CLT-00225,+33 634 690606,Private Banking,43.65,9948.42,12,6,1,28,3
CLT-00226,+33 678 693307,Premium Account,16.3,47592.38,51,19,1,20,1
CLT-00227,+33 675 552260,Premium Account,18.29,109374.31,52,27,1,28,0
CLT-00228,+33 632 702526,Savings Plus,4.8,23603.37,60,48,3,229,0
CLT-00229,+33 624 936638,Savings Plus,4.84,41820.23,47,11,0,24,0
CLT-00230,+33 660 162830,Savings Plus,4.81,8038.73,43,11,1,124,3
CLT-00231,+33 651 240662,Checking,1.1,9020.71,38,10,2,11,1
CLT-00232,+33 698 689324,Savings Plus,9.51,8949.17,21,22,3,19,4
CLT-00233,+33 664 160440,Savings Plus,7.94,45426.89,28,7,0,11,2
CLT-00234,+33 668 865491,Checking,0.0,11353.46,45,25,0,6,1
CLT-00235,+33 671 335706,Checking,0.0,4190.97,25,39,0,19,5
CLT-00236,+33 644 210620,Premium Account,19.65,78751.95,87,48,3,3,1
CLT-00237,+33 612 213907,Premium Account,19.93,65837.63,31,46,0,66,4
CLT-00238,+33 655 140377,Savings Plus,9.08,38955.66,61,35,0,6,3
CLT-00239,+33 637 283923,Savings Plus,7.93,13464.69,33,10,1,40,0
CLT-00240,+33 689 645847,Checking,0.15,10768.68,34,7,0,44,0
CLT-00241,+33 631 537440,Checking,1.3,14258.67,40,28,0,6,0
CLT-00242,+33 638 102718,Savings Plus,5.69,49775.42,19,24,0,25,0
CLT-00243,+33 612 462945,Premium Account,16.47,111924.56,27,9,0,7,0
CLT-00244,+33 633 762404,Savings Plus,3.97,21953.09,60,42,0,58,1
CLT-00245,+33 694 359253,Savings Plus,8.1,12664.36,18,44,0,74,1
CLT-00246,+33 615 523299,Checking,0.0,33940.22,136,28,1,14,1
CLT-00247,+33 635 529883,Savings Plus,3.36,11755.83,60,53,0,29,1
CLT-00248,+33 669 726605,Savings Plus,5.29,28464.94,40,18,0,24,1
CLT-00249,+33 618 313781,Premium Account,21.93,33378.64,70,13,1,3,4
CLT-00250,+33 610 408920,Private Banking,47.14,7732.64,5,24,2,1,1
CLT-00251,+33 664 636799,Private Banking,46.89,175796.51,27,48,1,40,2
CLT-00252,+33 677 585461,Checking,4.52,4812.47,23,58,1,23,3
CLT-00253,+33 685 938314,Savings Plus,3.47,15651.59,44,11,0,25,0
CLT-00254,+33 627 335891,Private Banking,47.42,127448.34,61,50,2,31,6
CLT-00255,+33 646 493414,Checking,2.65,14376.09,33,46,0,3,2
CLT-00256,+33 698 865450,Savings Plus,5.83,30720.64,17,37,1,75,1
CLT-00257,+33 679 191073,Savings Plus,7.24,33114.23,44,20,2,55,3
CLT-00258,+33 656 441996,Checking,3.79,3715.2,39,37,1,6,2
CLT-00259,+33 679 228706,Premium Account,16.35,71975.37,48,15,0,51,1
CLT-00260,+33 643 852746,Checking,0.68,53681.39,133,49,2,5,1
CLT-00261,+33 667 569926,Private Banking,49.19,120377.64,75,35,1,37,3
CLT-00262,+33 628 860607,Checking,0.0,14282.2,43,56,0,18,2
CLT-00263,+33 672 309458,Savings Plus,3.68,23889.44,21,51,0,8,0
CLT-00264,+33 622 362630,Checking,2.38,8668.09,24,13,3,6,7
CLT-00265,+33 613 962282,Savings Plus,3.12,33764.57,52,37,0,23,0
CLT-00266,+33 679 224042,Savings Plus,4.75,24664.52,33,25,1,6,0
CLT-00267,+33 638 356698,Checking,4.65,7739.56,35,43,3,13,2
CLT-00268,+33 612 709189,Checking,1.62,10335.5,39,26,1,2,0
CLT-00269,+33 652 844096,Premium Account,21.26,21580.32,61,34,0,22,0
CLT-00270,+33 665 749897,Checking,0.0,877.25,43,5,0,23,0
CLT-00271,+33 679 687309,Checking,4.25,6334.38,40,11,2,153,1
CLT-00272,+33 636 570138,Savings Plus,7.67,47779.92,37,46,1,2,1
CLT-00273,+33 691 837332,Savings Plus,9.21,34972.35,34,32,0,11,1
CLT-00274,+33 678 918437,Checking,4.14,12434.48,46,17,3,13,0
CLT-00275,+33 698 174185,Savings Plus,4.69,20417.11,30,32,2,38,0
CLT-00276,+33 689 741855,Savings Plus,4.39,14417.48,60,46,2,9,3
CLT-00277,+33 625 478146,Premium Account,22.95,86457.97,80,49,0,26,2
CLT-00278,+33 676 720686,Savings Plus,8.88,9767.41,27,26,0,18,2
CLT-00279,+33 636 652853,Premium Account,19.27,27011.44,62,29,0,30,0
CLT-00280,+33 645 688824,Savings Plus,5.39,41802.59,56,51,2,7,0
CLT-00281,+33 653 560028,Checking,0.0,3962.39,36,57,0,37,3
CLT-00282,+33 643 942385,Premium Account,18.75,101965.82,27,42,3,7,0
CLT-00283,+33 641 253352,Premium Account,17.61,66840.53,83,40,2,14,0
CLT-00284,+33 696 463737,Checking,4.94,3782.76,30,35,0,19,1
CLT-00285,+33 637 222996,Savings Plus,8.49,12557.21,55,26,1,1,0
CLT-00286,+33 689 151392,Savings Plus,4.27,17242.03,40,43,1,3,0
CLT-00287,+33 625 285645,Premium Account,21.48,96481.2,48,15,2,4,0
CLT-00288,+33 654 915587,Premium Account,21.58,28078.54,82,43,3,48,2
CLT-00289,+33 662 950323,Premium Account,16.51,30052.2,45,29,0,20,0
CLT-00290,+33 670 599248,Premium Account,20.54,95409.06,48,19,1,4,0
CLT-00291,+33 631 718163,Checking,2.84,5595.46,18,34,1,8,0
CLT-00292,+33 693 575008,Checking,2.06,14832.49,43,24,1,42,1
CLT-00293,+33 634 320288,Private Banking,43.83,124521.63,55,23,1,6,0
CLT-00294,+33 675 528556,Checking,0.0,10555.83,11,20,1,43,5
CLT-00295,+33 696 982680,Private Banking,49.69,371658.15,23,45,0,20,2
CLT-00296,+33 651 782471,Premium Account,21.78,65121.53,55,40,1,34,3
CLT-00297,+33 677 320820,Savings Plus,6.07,40412.35,38,16,0,6,0
CLT-00298,+33 662 470502,Premium Account,21.71,58023.56,53,46,0,54,6
CLT-00299,+33 629 385949,Savings Plus,6.68,25605.38,37,10,0,1,2
CLT-00300,+33 646 115156,Savings Plus,6.2,6630.0,49,18,0,11,0
CLT-00301,+33 627 184209,Checking,0.0,8171.07,10,35,0,27,0
CLT-00302,+33 639 895298,Checking,0.0,2070.47,15,38,3,23,4
CLT-00303,+33 621 445556,Checking,0.94,3458.19,34,56,0,11,5
CLT-00304,+33 623 565070,Checking,0.0,8733.27,38,42,1,34,0
CLT-00305,+33 659 106734,Checking,5.0,999.83,38,13,0,2,6
CLT-00306,+33 669 619577,Premium Account,20.16,56518.47,70,35,0,23,0
CLT-00307,+33 623 987962,Savings Plus,3.08,8864.88,28,17,0,7,1
CLT-00308,+33 682 937047,Savings Plus,9.13,40925.79,67,47,0,7,4
CLT-00309,+33 670 922617,Savings Plus,4.74,12066.15,15,48,1,4,3
CLT-00310,+33 696 993258,Checking,2.02,5146.6,21,30,0,25,0
CLT-00311,+33 629 744517,Private Banking,47.97,427811.19,59,53,0,21,0
CLT-00312,+33 664 938421,Savings Plus,6.84,15858.21,18,38,0,99,2
CLT-00313,+33 621 289078,Checking,2.59,8663.66,28,58,2,63,2
CLT-00314,+33 618 580718,Checking,2.13,1724.97,40,9,0,11,2
CLT-00315,+33 678 953331,Premium Account,20.96,89819.02,43,10,1,8,4
CLT-00316,+33 639 450540,Premium Account,16.99,77073.06,45,52,0,35,3
CLT-00317,+33 621 735488,Premium Account,22.9,45389.11,39,38,3,3,4
CLT-00318,+33 610 289553,Savings Plus,8.25,39412.59,39,30,3,10,1
CLT-00319,+33 664 653144,Checking,3.48,1914.4,35,32,1,4,1
CLT-00320,+33 664 387576,Checking,4.18,6907.57,19,29,0,27,0
CLT-00321,+33 657 751202,Premium Account,21.71,21625.71,87,52,0,18,3
CLT-00322,+33 690 372265,Savings Plus,7.62,14987.85,21,46,2,9,0
CLT-00323,+33 625 865235,Savings Plus,9.41,46358.92,63,58,0,1,0
CLT-00324,+33 651 148775,Savings Plus,4.37,12647.33,67,46,3,34,2
CLT-00325,+33 670 329667,Checking,0.11,3207.04,47,44,1,14,1
CLT-00326,+33 668 926651,Checking,0.0,4423.86,20,23,0,6,1
CLT-00327,+33 621 484115,Checking,4.61,2368.72,37,54,1,1,2
CLT-00328,+33 618 114493,Premium Account,18.64,25681.77,75,14,0,13,0
CLT-00329,+33 639 100742,Savings Plus,4.29,37027.27,62,37,0,1,0
CLT-00330,+33 641 798684,Checking,0.18,33983.92,142,58,3,7,2
CLT-00331,+33 681 643720,Savings Plus,3.54,9328.6,25,59,1,22,3
CLT-00332,+33 669 133463,Premium Account,16.03,106700.56,48,56,1,13,1
CLT-00333,+33 622 228968,Checking,4.05,35638.15,125,20,0,2,0
CLT-00334,+33 627 608600,Premium Account,16.66,58805.35,61,56,0,11,5
CLT-00335,+33 630 156313,Private Banking,43.03,471295.46,45,11,3,4,1
CLT-00336,+33 618 649800,Premium Account,18.48,34643.62,73,20,0,5,1
CLT-00337,+33 697 709457,Premium Account,21.65,89555.2,34,15,0,16,3
CLT-00338,+33 667 503671,Checking,0.0,1949.01,16,20,3,24,0
CLT-00339,+33 688 600596,Premium Account,16.8,111915.99,44,24,0,6,0
CLT-00340,+33 681 348336,Private Banking,43.26,208368.16,49,10,2,33,1
CLT-00341,+33 684 404825,Checking,1.34,78728.15,66,17,1,3,4
CLT-00342,+33 626 611861,Checking,2.97,9124.06,35,50,1,22,0
CLT-00343,+33 619 184806,Checking,0.0,76524.81,63,15,2,86,0
CLT-00344,+33 666 590999,Checking,2.05,5614.8,38,31,1,12,1
CLT-00345,+33 649 330344,Savings Plus,5.23,6191.56,66,59,0,3,0
CLT-00346,+33 673 577722,Checking,4.56,1537.69,47,38,1,15,0
CLT-00347,+33 696 490631,Premium Account,16.09,28555.76,45,43,0,35,0
CLT-00348,+33 681 534661,Savings Plus,9.61,27791.3,27,6,0,8,1
CLT-00349,+33 626 406124,Savings Plus,6.65,44740.71,31,50,0,20,0
CLT-00350,+33 624 901175,Premium Account,18.75,78962.49,75,11,0,1,2
